status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,ucid
1,136,XZC,Zcoin,secp256k1,sha256,,,0x52,0x07,0xd2,,1414
1,137,RBTC,Rootstock Bitcoin,secp256k1,keccak256,,,,,,TRUE,3626
0,138,GB,Giftblock,,,,,,,,,
0,139,RPT,RealPointCoin,,,,,,,,,1585
1,140,LBC,LBRY Credits,secp256k1,sha256,,,0x55,0x7a,0x1c,,1298
1,141,KMD,Komodo,secp256k1,sha256,,,0x3c,0x55,0xbc,,1521
0,142,BSQ,bisq Token,,,,,,,,,
0,143,RIC,Riecoin,,,,,,,,,160
1,144,XRP,XRP,secp256k1,sha256+ripemd160,,,0x00,0x05,,,52
1,145,BCH,Bitcoin Cash,secp256k1,sha256,,,0x6f,0xc4,0xef,,1831
1,146,NEBL,Neblio,secp256k1,sha256,,,0x35,0x70,0xb5,,1955
1,147,ZCL,ZClassic,secp256k1,sha256,,,0x1CB8,0x1CBD,,,1447
0,148,XLM,Stellar,ed25519,sha256,,,,,,,512
0,149,NLC2,NoLimitCoin2,,,,,,,,,
0,150,WHL,WhaleCoin,,,,,,,,,
1,151,ERC,EuropeCoin,secp256k1,sha256,,,0x21,,0xa8,,964
1,152,DMD,Diamond,secp256k1,sha256,,,0x5a,0x08,0xda,,77
0,153,BTM,Bytom,,,,,,,,,
0,154,BIO,Biocoin,,,,,,,,,
0,155,XWCC,Whitecoin Classic,,,,,,,,,
1,156,BTG,Bitcoin Gold,secp256k1,sha256,,,0x26,0x17,,,2083
0,157,BTC2X,Bitcoin 2x,,,,,,,,,
0,158,SSN,SuperSkynet,,,,,,,,,
1,159,TOA,TOACoin,secp256k1,sha256,,,0x41,0x17,0xc1,,1833
1,160,BTX,Bitcore,secp256k1,sha256,,,0x03,0x7D,,,1654
1,161,ACC,Adcoin,secp256k1,sha256,,,0x17,,0xb0,,1915
0,162,BCO,Bridgecoin,,,,,,,,,
1,163,ELLA,Ellaism,secp256k1,keccak256,,,,,,TRUE,2122
0,164,PIRL,Pirl,,,,,,,,,
1,165,XNO,Nano,ed25519,blake2b,,,,,,,1567
1,166,VIVO,Vivo,secp256k1,sha256,,,0x46,0x0a,0xc6,,1956
1,167,FRST,Firstcoin,secp256k1,sha256,,,0x23,,0xa3,,1522
1,168,HNC,Helleniccoin,secp256k1,sha256,,,0x30,,0xb0,,1004
0,169,BUZZ,BUZZ,,,,,,,,,
0,170,MBRS,Ember,,,,,,,,,
0,171,HC,Hcash,,,,,,,,,
1,172,HTML,HTML Coin,secp256k1,keccak256,,,,,,TRUE,2315
0,173,ODN,Obsidian,,,,,,,,,
0,174,ONX,OnixCoin,,,,,,,,,
1,175,RVN,Ravencoin,secp256k1,sha256,,,0x3c,0x7a,,,2577
1,176,GBX,GoByte,secp256k1,sha256,,,0x26,0x0a,0xc6,,2200
1,177,BTCZ,BitcoinZ,secp256k1,sha256,,,0x1CB8,0x1CBD,,,2041
1,178,POA,Poa,secp256k1,keccak256,,,,,,TRUE,2548
1,179,NYC,NewYorkCoin,secp256k1,sha256,,,0x3c,0x16,0xbc,,298
0,180,MXT,MarteXcoin,,,,,,,,,
1,181,WC,Wincoin,secp256k1,sha256,,,0x49,0x1c,0xc9,,2201
1,182,MNX,Minexcoin,secp256k1,sha256,,,0x4b,,,,2139
1,183,BTCP,Bitcoin Private,secp256k1,sha256,,,0x1325,0x13AF,,,2575
0,184,MUSIC,Musicoin,,,,,,,,,
1,185,BCA,Bitcoin Atom,secp256k1,sha256,,,0x17,0x0a,,,2387
1,186,CRAVE,Crave,secp256k1,sha256,,,0x46,0x55,0x99,,869
0,187,STAK,STRAKS,,,,,,,,,
0,188,WBTC,World Bitcoin,,,,,,,,,
0,189,LCH,LiteCash,,,,,,,,,
1,190,EXCL,ExclusiveCoin,secp256k1,sha256,,,0x21,0x89,0xa1,,633
1,191,LYNX,Lynx,secp256k1,sha256,,,0x2d,0x32,0xad,,3099
1,192,LCC,LitecoinCash,secp256k1,sha256,,,0x1c,,0xb0,,2540
0,193,XFE,Feirm,,,,,,,,,
0,194,EOS,EOS,secp256k1,sha256,,,,,,,
1,195,TRX,Tron,secp256k1,keccak256,,,0x41,,,TRUE,1958
1,196,KOBO,Kobocoin,secp256k1,sha256,,,0x23,0x1c,0xa3,,815
1,197,HUSH,HUSH,secp256k1,sha256,,,0x1CB8,0x1CBD,,,1466
0,198,BAN,Banano,,,,,,,,,
0,199,ETF,ETF,,,,,,,,,
1,200,OMNI,Omni,secp256k1,keccak256,,,,,,TRUE,83
0,201,BIFI,BitcoinFile,,,,,,,,,
0,202,UFO,Uniform Fiscal Object,,,,,,,,,
0,203,CNMC,Cryptonodes,,,,,,,,,
0,204,BCN,Bytecoin,,,,,,,,,
0,205,RIN,Ringo,,,,,,,,,
0,206,ATP,Alaya,,,,,,,,,
0,207,EVT,everiToken,,,,,,,,,
0,208,ATN,ATN,,,,,,,,,
0,209,BIS,Bismuth,,,,,,,,,
0,210,NEET,NEETCOIN,,,,,,,,,
0,211,BOPO,BopoChain,,,,,,,,,
0,212,OOT,Utrum,,,,,,,,,
0,213,ALIAS,Alias,,,,,,,,,
1,214,MONK,Monkey Project,secp256k1,sha256,0x0488DDE4,,0x33,0x1c,0x37,,
0,215,BOXY,BoxyCoin,,,,,,,,,
0,216,FLO,Flo,,,,,,,,,
1,217,MEC,Megacoin,secp256k1,sha256,,,0x32,,0xB2,,37
1,218,BTDX,BitCloud,secp256k1,sha256,,,0x19,,0x99,,1381
1,219,XAX,Artax,secp256k1,sha256,,,0x17,0x1CBD,0x97,,
1,220,ANON,ANON,secp256k1,sha256,,,0x0582,0x5389,,,3343
1,221,LTZ,LitecoinZ,secp256k1,sha256,,,0x0AB3,0x0AB8,,,6021
1,222,BITG,Bitcoin Green,secp256k1,sha256,,,0x26,0x1CBD,0x2E,,
0,223,ICP,Internet Computer (DFINITY),,,,,,,,,
0,224,SMART,Smartcash,,,,,,,,,
1,225,XUEZ,XUEZ,secp256k1,sha256,0x0221312B,0x022D2533,0x4b,0x12,0xd4,,3798
0,226,HLM,Helium,,,,,,,,,
0,227,WEB,Webchain,,,,,,,,,
0,228,ACM,Actinium,,,,,,,,,
0,229,NOS,NOS Stable Coins,,,,,,,,,
0,230,BITC,BitCash,,,,,,,,,
1,231,HTH,Help The Homeless Coin,secp256k1,keccak256,,,,,,TRUE,
0,232,TZC,Trezarcoin,,,,,,,,,
0,233,VAR,Varda,,,,,,,,,
0,234,IOV,IOV,,,,,,,,,
0,235,FIO,FIO,,,,,,,,,
1,236,BSV,Bitcoin SV,secp256k1,sha256,,,,,,,3602
0,237,DXN,DEXON,,,,,,,,,
0,238,QRL,Quantum Resistant Ledger,,,,,,,,,
0,239,PCX,ChainX,,,,,,,,,
0,240,LOKI,Loki,,,,,,,,,
0,241,IW,Imagewallet,,,,,,,,,
0,242,NIM,Nimiq,,,,,,,,,
0,243,SOV,Sovereign Coin,,,,,,,,,
0,244,JCT,Jibital Coin,,,,,,,,,
0,245,SLP,Simple Ledger Protocol,,,,,,,,,
1,246,EWT,Energy Web Token,secp256k1,keccak256,,,,,,TRUE,5268
0,247,UC,Ulord,,,,,,,,,
0,248,EXOS,EXOS,,,,,,,,,
0,249,ECA,Electra,,,,,,,,,
0,250,SOOM,Soom,,,,,,,,,
0,251,XRD,Redstone,,,,,,,,,
0,252,FREE,FreeCoin,,,,,,,,,
0,253,NPW,NewPowerCoin,,,,,,,,,
0,254,BST,BlockStamp,,,,,,,,,
0,255,STH,SmartHoldem,,,,,,,,,
0,256,NANO,Bitcoin Nano,,,,,,,,,
0,257,BTCC,Bitcoin Core,,,,,,,,,
0,258,ZP,Zen Protocol,,,,,,,,,
0,259,ZEST,Zest,,,,,,,,,
0,260,ABT,ArcBlock,,,,,,,,,
0,261,PION,Pion,,,,,,,,,
0,262,DT3,DreamTeam3,,,,,,,,,
0,263,ZBUX,Zbux,,,,,,,,,
0,264,KPL,Kepler,,,,,,,,,
0,265,TPAY,TokenPay,,,,,,,,,
0,266,ZILLA,ChainZilla,,,,,,,,,
0,267,ANK,Anker,,,,,,,,,
0,268,BCC,BCChain,,,,,,,,,
0,269,HPB,HPB,,,,,,,,,
0,270,ONE,ONE,,,,,,,,,
0,271,SBC,SBC,,,,,,,,,
0,272,IPC,IPChain,,,,,,,,,
0,273,DMTC,Dominantchain,,,,,,,,,
0,274,OGC,Onegram,,,,,,,,,
0,275,SHIT,Shitcoin,,,,,,,,,
0,276,ANDES,Andescoin,,,,,,,,,
